verse_no,verse
4:34:,"Learn thou this by discipleship, by investigation, and by service. The wise, the seers of the essence of things, will instruct thee in wisdom."
4:35:,"And having known this, thou shalt not again fall into this confusion, O Pandava; for by this thou wilt see all beings without exception in the SELF, and thus in Me."
4:36:,"Even if thou art the most sinful of all sinners, yet shalt thou cross over all sin by the raft of wisdom."
4:37:,"As the burning fire reduces fuel to ashes, O Arjuna, so doth the fire of wisdom reduce all actions to ashes."
4:38:,Verily there is no purifier in this world like wisdom; he that is perfected in yoga finds it in the SELF in due season.
4:39:,"The man who is full of faith obtaineth wisdom, and he also who hath mastery over his senses; and, having obtained wisdom, he goeth swiftly to the supreme Peace."
4:40:,"But the ignorant, faithless, doubting self goeth to destruction; nor this world, nor that beyond, nor happiness, is there for the doubting self."
4:41:,"He who hath renounced actions by yoga, who hath cloven asunder doubt by wisdom, who is ruled by the SELF, actions do not bind him, O Dhananjaya."
4:42:,"Therefore, with the sword of the wisdom of the SELF cleaving asunder this ignorance-born doubt dwelling in thy heart, be established in yoga. Stand up, O Bharata."
5:1:,"Arjuna said: Renunciation of actions Thou praisest, O Krishna, and then also yoga. Of the two which one is the better? That tell me conclusively."
5:2:,"The Blessed Lord said: Renunciation and yoga by action both lead to the highest bliss; of the two, yoga by action is verily better than renunciation of action."
5:3:,"He should be known as a perpetual ascetic, who neither hateth nor desireth; free from the pairs of opposites, O mighty-armed, he is easily set free from bondage."
5:4:,"Children, not Sages, speak of the Sankhya and the Yoga as different; he who is duly established in one obtaineth the fruits of both."
5:5:,"That place which is gained by the Sankhyas is reached by the Yogîs also. He seeth, who seeth that the Sankhya and the Yoga are one."
5:6:,"But without yoga, O mighty-armed, renunciation is hard to attain to; the yoga-harmonised Muni swiftly goeth to the ETERNAL."
5:7:,"He who is harmonised by yoga, the self-purified, SELF-ruled, the senses subdued, whose SELF is the SELF of all being, although acting he is not affected."
5:8 & 5:9:," ""I do not anything,"" should think the harmonised one, who knoweth the essence of things seeing, hearing, touching, smelling, eating moving, sleeping, breathing. Speaking, giving, grasping, opening and closing the eyes, he holdeth: ""The senses move among the objects of the senses."""
5:10:,"He who acteth, placing all actions in the ETERNAL, abandoning attachment, is unaffected by sin as a lotus leaf by the waters."
5:11:,"Yogis, having abandoned attachment, perform action only by the body, by the mind, by the Reason, and even by the senses, for the purification of the self."
5:12:,"The harmonised man, having abandoned the fruit of action, attaineth to the eternal Peace; the non-harmonised, impelled by desire, attached to fruit, are bound."
5:13:,"Mentally renouncing all actions, the sovereign dweller in the body resteth serenely in the nine-gated city, neither acting nor causing to act."
5:14:,"The Lord of the world produceth not the idea of agency, nor actions, nor the union together of action and its fruit; nature, however, manifesteth."
5:15:,The Lord accepteth neither the evil-doing nor yet the well-doing of any. Wisdom is enveloped by unwisdom; therewith mortals are deluded.
5:16:,"Verily, in whom unwisdom is destroyed by the wisdom of the SELF, in them wisdom, shining as the sun, reveals the Supreme."
5:17:,"Thinking on THAT, merged in THAT, established in THAT, solely devoted to THAT, they go whence there is no return, their sins dispelled by wisdom."
5:18:,"Sages look equally on a Brahmana adorned with learning and humility, a cow, an elephant, and even a dog and an outcaste."
5:19:,Even here on earth everything is overcome by those whose mind remains balanced; the ETERNAL is incorruptible and balanced; therefore they are established in the ETERNAL.
5:20:,"With Reason firm, unperplexed, the knower of the ETERNAL established in the ETERNAL, neither rejoiceth on obtaining what is pleasant, nor sorroweth on obtaining what is unpleasant."
5:21:,"He, whose self is unattached to external contacts and findeth joy in the SELF, having the self harmonised with the ETERNAL by yoga, enjoys imperishable bliss."
5:22:,"The delights that are contact-born, they are verily wombs of pain, for they have beginning and ending, O Kaunteya; not in them may rejoice the wise."
5:23:,"He who is able to endure here on earth, ere he be liberated from the body, the force born from desire and passion, he is harmonised, he is a happy man."
5:24:,"He who is happy within, who rejoiceth within, who is illuminated within, that Yogî, becoming the ETERNAL, goeth to the Peace of the ETERNAL."
5:25:,"Rishis, their sins destroyed, their duality removed, their selves controlled, intent upon the welfare of all beings, obtain the Peace of the ETERNAL."
5:26:,"The Peace of the ETERNAL lies near to those who know themselves, who are disjoined from desire and passion, subdued in nature, of subdued thoughts."
5:27 & 5:28:," Having external contacts excluded, and with gaze fixed between the eyebrows; having made equal the outgoing and ingoing breaths moving within the nostrils; With senses, mind, and Reason ever controlled, solely pursuing liberation, the Sage, having for ever cast away desire, fear and passion, verily is liberated."
5:29:,"Having known Me, as the Enjoyer of sacrifice and of austerity, the mighty Ruler of all the worlds, and the Lover of all beings, he goeth to Peace."
6:1:,"The Blessed Lord said: He that performeth such action as is duty, independently of the fruit of action, he is an ascetic, he is a Yogî, not he that is without fire, and without rites."
6:2:,"That which is called renunciation know thou that as yoga, O Pandava; nor doth any one be-come a Yogî with the formative will unrenounc-ed."
6:3:,"For a Sage who is seeking Yoga, action is call-ed the means; for the same Sage, when he is enthroned in yoga, serenity is called the means."
6:4:,"When a man feeleth no attachment either for the objects of sense or for actions, renouncing the formative will, then, he is said to be enthroned in yoga."
6:5:,"Let him raise the self by the SELF and not let the self become depressed; for verily is the SELF the friend of the self, and also the SELF the self's enemy;"
6:6:,The SELF is the friend of the self of him in whom the self by the SELF is vanquished; but to the unsubdued self the SELF verily becometh hostile as an enemy.
6:7:,"The higher Self of him who is SELF-controlled and peaceful is uniform in cold and heat, pleasure and pain, as well as in honour and dishonour."
6:8:,"The Yogî who is satisfied with wisdom and knowledge, unwavering, whose senses are sub-dued, to whom a lump of earth, a stone and gold are the same, is said to be harmonised."
6:9:,"He who regards impartially lovers, friends, and foes, strangers, neutrals, foreigners and relatives, also the righteous and unrighteous, he excelleth."
6:10:,"Let the Yogî constantly engage himself in yoga, remaining in a secret place by himself, with thought and self subdued, free from hope and greed."
6:11:,"In a pure place, established on a fixed seat of his own, neither very much raised nor very low, made of a cloth, a black antelope skin, and kusha grass, one over the other;"
6:12:,"There, having made the mind one-pointed, with thought and the functions of the senses subdued, steady on his seat, he should practise yoga for the purification of the self."
